device_id,timestamp,spindle_current,spindle_power,feed_velocity,machining_process,tool_condition
1,2025-01-01 08:00:00,40.2106,0.239,13.4485,Layer 1 Up,1
1,2025-01-01 08:01:00,27.7707,0.3137,11.7148,Layer 1 Up,1
1,2025-01-01 08:02:00,19.7286,0.2676,5.0528,Layer 2 Up,1
1,2025-01-01 08:03:00,33.1447,0.1617,12.479,Layer 1 Down,1
1,2025-01-01 08:04:00,17.5562,0.341,13.4903,Layer 1 Up,1
1,2025-01-01 08:05:00,50.5752,0.2767,15.2303,Layer 1 Up,1
1,2025-01-01 08:06:00,19.8259,0.217,13.1608,Layer 2 Down,1
1,2025-01-01 08:08:00,24.925,0.3024,8.515,Layer 1 Down,1
1,2025-01-01 08:10:00,33.7979,0.2461,13.1137,Layer 2 Up,1
1,2025-01-01 08:11:00,32.7173,0.2208,7.8858,Layer 2 Up,1
1,2025-01-01 08:12:00,16.1744,0.2725,12.6938,Layer 1 Up,1
1,2025-01-01 08:13:00,30.8015,0.3064,19.0909,Layer 1 Up,1
1,2025-01-01 08:15:00,9.8988,0.3191,13.7306,Layer 1 Down,1
1,2025-01-01 08:17:00,14.602,0.2485,19.484,Layer 2 Down,1
1,2025-01-01 08:18:00,32.9362,0.2509,22.4424,Layer 2 Up,1
1,2025-01-01 08:19:00,20.9939,0.2494,7.5255,Layer 2 Up,1
1,2025-01-01 08:20:00,35.4052,0.2399,16.4048,Layer 2 Up,1
1,2025-01-01 08:21:00,17.0877,0.2977,13.5584,Layer 1 Up,1
1,2025-01-01 08:22:00,20.7116,0.308,16.263,Layer 3 Up,1
1,2025-01-01 08:23:00,38.6989,0.2636,13.0728,Layer 1 Up,1
1,2025-01-01 08:24:00,31.7115,0.2296,7.3016,Layer 3 Up,1
1,2025-01-01 08:25:00,-1.5715,0.2738,12.6416,Layer 1 Down,1
1,2025-01-01 08:26:00,22.0889,0.2434,16.6395,Layer 2 Up,1
1,2025-01-01 08:27:00,15.5497,0.3373,14.5265,Layer 1 Down,1
1,2025-01-01 08:28:00,8.2452,0.2567,26.9354,Layer 1 Up,1
1,2025-01-01 08:29:00,29.7578,0.2375,11.7457,Layer 2 Up,1
1,2025-01-01 08:30:00,20.7653,0.3217,18.3789,Layer 1 Down,1
1,2025-01-01 08:31:00,16.962,0.3361,21.6452,Layer 2 Up,1
1,2025-01-01 08:32:00,38.9035,0.1937,11.7877,Layer 1 Up,1
1,2025-01-01 08:33:00,42.0463,0.3055,14.6649,Layer 1 Down,1
1,2025-01-01 08:34:00,21.3249,0.1893,16.9872,Layer 2 Down,1
1,2025-01-01 08:35:00,31.1858,0.2434,12.6779,Layer 1 Up,1
1,2025-01-01 08:36:00,16.1252,0.3019,8.4649,Layer 3 Up,1
1,2025-01-01 08:38:00,22.9216,0.2687,18.5283,Layer 1 Down,1
1,2025-01-01 08:39:00,37.9743,0.2011,17.7074,Layer 1 Up,1
1,2025-01-01 08:40:00,37.151,0.2707,11.0475,Layer 1 Up,1
1,2025-01-01 08:41:00,26.7286,0.1801,19.866,Layer 1 Down,1
1,2025-01-01 08:42:00,38.2313,0.1946,18.5546,Layer 1 Down,1
1,2025-01-01 08:43:00,32.6801,0.3292,16.7417,Layer 2 Down,1
1,2025-01-01 08:44:00,34.3856,0.2384,10.8505,Layer 1 Down,1
1,2025-01-01 08:45:00,33.767,0.2387,20.6661,Layer 2 Up,1
1,2025-01-01 08:46:00,30.3599,0.2372,28.2201,Layer 1 Up,1
1,2025-01-01 08:47:00,15.3501,0.3117,14.8291,Layer 1 Up,1
1,2025-01-01 08:48:00,23.6076,0.2397,18.1892,Layer 1 Up,1
1,2025-01-01 08:49:00,23.739,0.2975,12.3569,Layer 2 Up,1
1,2025-01-01 08:50:00,32.7508,0.2263,18.9012,Layer 1 Up,1
1,2025-01-01 08:51:00,32.0814,0.2586,17.7696,Layer 1 Up,1
1,2025-01-01 08:53:00,33.7048,0.3171,9.8242,Layer 1 Down,1
1,2025-01-01 08:55:00,25.2196,0.3054,21.806,Layer 2 Down,1
1,2025-01-01 08:57:00,13.4546,0.163,15.4443,Layer 1 Up,1
1,2025-01-01 08:58:00,16.421,0.392,5.2829,Layer 1 Down,1
1,2025-01-01 08:59:00,20.835,0.2579,10.1536,Layer 2 Up,1
1,2025-01-01 09:00:00,21.6321,0.2102,18.0172,Layer 2 Down,1
1,2025-01-01 09:02:00,33.2679,0.1316,15.5515,Layer 3 Up,1
1,2025-01-01 09:03:00,20.5353,0.1529,10.7601,Layer 1 Up,1
1,2025-01-01 09:04:00,41.5933,0.2246,11.3526,Layer 2 Up,1
1,2025-01-01 09:05:00,34.4341,0.3291,16.5057,Layer 2 Down,1
1,2025-01-01 09:06:00,41.4938,0.1619,12.1981,Layer 1 Down,1
1,2025-01-01 09:07:00,22.6064,0.3654,14.522,Layer 2 Up,1
1,2025-01-01 09:08:00,15.6544,0.2379,8.3803,Layer 2 Up,1
1,2025-01-01 09:09:00,40.411,0.3325,13.9772,Layer 2 Down,1
1,2025-01-01 09:10:00,20.3236,0.3229,14.6704,Layer 2 Down,1
1,2025-01-01 09:11:00,22.9557,0.2567,17.855,Layer 2 Down,1
1,2025-01-01 09:12:00,26.2412,0.3482,8.4301,Layer 2 Up,1
1,2025-01-01 09:14:00,23.8953,0.2699,11.5057,Layer 1 Up,1
1,2025-01-01 09:15:00,33.8302,0.2252,11.508,Layer 2 Down,1
1,2025-01-01 09:16:00,21.4254,0.3071,16.1557,Layer 3 Up,1
1,2025-01-01 09:17:00,18.6833,0.3057,17.3779,Layer 3 Up,1
1,2025-01-01 09:18:00,17.879,0.2518,15.2059,Layer 1 Down,1
1,2025-01-01 09:19:00,18.2883,0.3228,22.3835,Layer 3 Up,1
1,2025-01-01 09:20:00,20.5851,0.3314,14.7242,Layer 1 Down,1
1,2025-01-01 09:22:00,18.8493,0.2589,17.595,Layer 2 Down,1
1,2025-01-01 09:23:00,7.0598,0.2263,20.6438,Layer 3 Up,1
1,2025-01-01 09:24:00,13.0137,0.2905,17.7609,Layer 1 Up,1
1,2025-01-01 09:26:00,42.6846,0.2036,13.0123,Layer 1 Up,1
1,2025-01-01 09:27:00,31.1187,0.3346,12.4527,Layer 3 Up,1
1,2025-01-01 09:28:00,27.0185,0.2248,15.7795,Layer 1 Up,1
1,2025-01-01 09:29:00,36.5238,0.2244,11.2981,Layer 1 Up,1
1,2025-01-01 09:30:00,38.5814,0.2717,21.996,Layer 2 Up,1
1,2025-01-01 09:31:00,21.957,0.2528,11.2075,Layer 1 Up,1
1,2025-01-01 09:32:00,24.4983,0.2724,10.4831,Layer 3 Up,1
1,2025-01-01 09:34:00,16.5389,0.2665,14.6822,Layer 1 Up,1
1,2025-01-01 09:35:00,29.7166,0.2563,25.998,Layer 2 Down,1
1,2025-01-01 09:36:00,29.0426,0.3823,10.7825,Layer 2 Down,1
1,2025-01-01 09:37:00,23.871,0.3117,7.355,Layer 1 Up,1
1,2025-01-01 09:38:00,32.8203,0.1257,11.9904,Layer 2 Down,1
1,2025-01-01 09:39:00,5.8532,0.2748,17.476,Layer 1 Up,1
1,2025-01-01 09:41:00,24.2442,0.2362,16.0966,Layer 2 Up,1
1,2025-01-01 09:42:00,14.0068,0.2462,20.8083,Layer 2 Up,1
1,2025-01-01 09:44:00,28.0038,0.2534,14.8541,Layer 3 Up,1
1,2025-01-01 09:45:00,21.85,0.1571,7.7763,Layer 2 Down,1
1,2025-01-01 09:46:00,30.3352,0.161,21.0076,Layer 1 Up,1
1,2025-01-01 09:47:00,27.4036,0.3759,15.1935,Layer 3 Up,1
1,2025-01-01 09:49:00,14.7765,0.2369,22.0644,Layer 1 Down,1
1,2025-01-01 09:50:00,33.7585,0.3166,5.8255,Layer 2 Up,1
1,2025-01-01 09:51:00,33.8409,0.2449,15.6199,Layer 3 Up,1
1,2025-01-01 09:54:00,8.3334,0.129,14.1736,Layer 2 Down,1
1,2025-01-01 09:55:00,23.7512,0.2486,9.113,Layer 1 Down,1
1,2025-01-01 09:56:00,29.857,0.2493,19.3949,Layer 2 Down,1
1,2025-01-01 09:57:00,20.5135,0.2245,10.5417,Layer 1 Up,1
1,2025-01-01 09:58:00,19.39,0.2467,9.443,Layer 1 Down,1
1,2025-01-01 09:59:00,25.555,0.1161,14.1095,Layer 3 Up,1
2,2025-01-01 08:00:00,21.1295,0.2118,16.6058,Layer 1 Up,1
2,2025-01-01 08:01:00,29.8279,0.1922,7.3947,Layer 2 Up,1
2,2025-01-01 08:02:00,7.1009,0.307,21.7598,Layer 1 Up,1
2,2025-01-01 08:04:00,53.0416,0.2922,12.8954,Layer 2 Up,1
2,2025-01-01 08:05:00,12.6974,0.1764,9.0122,Layer 1 Down,1
2,2025-01-01 08:06:00,15.7871,0.1601,21.9707,Layer 3 Up,1
2,2025-01-01 08:07:00,31.0692,0.1726,13.5185,Layer 2 Up,1
2,2025-01-01 08:08:00,37.484,0.2573,8.3487,Layer 1 Down,1
2,2025-01-01 08:09:00,20.3494,0.3088,6.9867,Layer 2 Down,1
2,2025-01-01 08:10:00,8.2671,0.2588,10.2817,Layer 1 Up,1
2,2025-01-01 08:12:00,22.738,0.1752,14.8872,Layer 1 Up,1
2,2025-01-01 08:15:00,12.4773,0.3476,21.633,Layer 1 Down,1
2,2025-01-01 08:16:00,15.6266,0.2592,9.7187,Layer 2 Up,1
2,2025-01-01 08:17:00,4.204,0.1975,12.0014,Layer 2 Down,1
2,2025-01-01 08:18:00,28.6387,0.1253,13.2046,Layer 2 Up,1
2,2025-01-01 08:19:00,10.1426,0.2161,11.4976,Layer 1 Up,1
2,2025-01-01 08:20:00,32.3157,0.1904,17.7134,Layer 3 Up,1
2,2025-01-01 08:21:00,10.9557,0.1816,25.7042,Layer 2 Up,1
2,2025-01-01 08:23:00,16.213,0.2543,21.4356,Layer 3 Up,1
2,2025-01-01 08:24:00,25.6288,0.2003,11.0969,Layer 1 Up,1
2,2025-01-01 08:25:00,17.9272,0.2576,18.7096,Layer 2 Up,1
2,2025-01-01 08:26:00,30.9641,0.2055,19.541,Layer 2 Up,1
2,2025-01-01 08:27:00,18.1721,0.1844,2.3833,Layer 1 Down,1
2,2025-01-01 08:28:00,22.437,0.3256,15.1696,Layer 2 Up,1
2,2025-01-01 08:29:00,20.0618,0.2786,14.0131,Layer 2 Down,1
2,2025-01-01 08:30:00,7.4669,0.2936,15.2274,Layer 2 Down,1
2,2025-01-01 08:31:00,18.0999,0.283,13.9452,Layer 3 Up,1
2,2025-01-01 08:32:00,17.6592,0.174,17.6866,Layer 1 Up,1
2,2025-01-01 08:34:00,32.6282,0.1944,12.1856,Layer 3 Up,1
2,2025-01-01 08:35:00,12.4652,0.1994,10.7717,Layer 3 Up,1
2,2025-01-01 08:36:00,30.9489,0.3064,15.6021,Layer 1 Down,1
2,2025-01-01 08:38:00,4.4656,0.3148,16.8068,Layer 1 Up,1
2,2025-01-01 08:39:00,21.697,0.2358,26.7528,Layer 2 Down,1
2,2025-01-01 08:40:00,23.3468,0.2686,15.94,Layer 2 Down,1
2,2025-01-01 08:41:00,24.4916,0.24,7.8362,Layer 2 Down,1
2,2025-01-01 08:43:00,20.9949,0.3773,16.1547,Layer 2 Up,1
2,2025-01-01 08:44:00,20.6727,0.1994,8.4744,Layer 2 Up,1
2,2025-01-01 08:45:00,5.7042,0.2112,16.6756,Layer 1 Down,1
2,2025-01-01 08:46:00,18.895,0.3252,12.237,Layer 1 Up,1
2,2025-01-01 08:47:00,7.2214,0.2246,6.9392,Layer 2 Up,1
2,2025-01-01 08:48:00,19.9435,0.2668,22.7797,Layer 1 Up,1
2,2025-01-01 08:50:00,19.5639,0.1586,26.4017,Layer 1 Up,1
2,2025-01-01 08:52:00,16.5162,0.1922,13.3712,Layer 2 Down,1
2,2025-01-01 08:53:00,16.8186,0.3083,0.2382,Layer 2 Up,1
2,2025-01-01 08:55:00,18.5384,0.216,16.1738,Layer 1 Down,1
2,2025-01-01 08:56:00,11.147,0.3301,18.2133,Layer 1 Up,1
2,2025-01-01 08:57:00,34.9684,0.1827,9.8934,Layer 2 Down,1
2,2025-01-01 08:58:00,17.0076,0.2544,7.4243,Layer 1 Up,1
2,2025-01-01 08:59:00,29.3828,0.2738,8.8329,Layer 3 Up,1
2,2025-01-01 09:00:00,18.6431,0.2946,8.1296,Layer 1 Down,1
2,2025-01-01 09:02:00,17.0256,0.288,10.0132,Layer 2 Down,1
2,2025-01-01 09:03:00,8.1682,0.2704,6.4698,Layer 2 Up,1
2,2025-01-01 09:04:00,1.4335,0.3268,14.59,Layer 3 Up,1
2,2025-01-01 09:05:00,21.2857,0.2833,13.3802,Layer 3 Up,1
2,2025-01-01 09:06:00,18.6167,0.2216,15.074,Layer 2 Down,1
2,2025-01-01 09:07:00,5.1511,0.1876,11.4442,Layer 3 Up,1
2,2025-01-01 09:08:00,22.4371,0.2459,10.8362,Layer 1 Up,1
2,2025-01-01 09:09:00,14.4698,0.1272,16.2943,Layer 2 Up,1
2,2025-01-01 09:10:00,32.5444,0.2534,14.8151,Layer 2 Down,1
2,2025-01-01 09:12:00,3.8441,0.1482,10.4109,Layer 1 Up,1
2,2025-01-01 09:13:00,22.5137,0.2041,14.5277,Layer 2 Down,1
2,2025-01-01 09:14:00,16.1376,0.1406,8.9188,Layer 2 Down,1
2,2025-01-01 09:15:00,8.736,0.2595,4.7671,Layer 2 Up,1
2,2025-01-01 09:16:00,27.186,0.2361,9.2432,Layer 1 Up,1
2,2025-01-01 09:17:00,29.2559,0.2615,5.939,Layer 1 Up,1
2,2025-01-01 09:18:00,47.8536,0.2193,19.2813,Layer 1 Up,1
2,2025-01-01 09:19:00,15.221,0.2358,11.8607,Layer 2 Up,1
2,2025-01-01 09:20:00,15.9831,0.3338,17.0737,Layer 3 Up,1
2,2025-01-01 09:21:00,16.6281,0.1597,18.1824,Layer 2 Down,1
2,2025-01-01 09:22:00,14.9814,0.2102,13.1628,Layer 1 Up,1
2,2025-01-01 09:23:00,28.4595,0.2889,14.133,Layer 3 Up,1
2,2025-01-01 09:24:00,27.8507,0.2899,17.7046,Layer 1 Down,1
2,2025-01-01 09:28:00,21.8573,0.2659,13.6765,Layer 1 Down,1
2,2025-01-01 09:29:00,22.5504,0.1407,16.0401,Layer 1 Up,1
2,2025-01-01 09:30:00,24.4741,0.1963,19.8137,Layer 1 Up,1
2,2025-01-01 09:31:00,13.3067,0.2498,3.8865,Layer 3 Up,1
2,2025-01-01 09:32:00,32.5712,0.1359,14.8702,Layer 1 Down,1
2,2025-01-01 09:33:00,31.1491,0.2678,13.77,Layer 3 Up,1
2,2025-01-01 09:35:00,18.6244,0.1241,4.742,Layer 3 Up,1
2,2025-01-01 09:36:00,18.0509,0.2081,6.8127,Layer 1 Down,1
2,2025-01-01 09:37:00,13.0663,0.109,7.498,Layer 2 Down,1
2,2025-01-01 09:38:00,32.096,0.2122,13.2876,Layer 2 Down,1
2,2025-01-01 09:39:00,29.001,0.295,21.6405,Layer 2 Up,1
2,2025-01-01 09:40:00,15.8754,0.1932,10.4192,Layer 3 Up,1
2,2025-01-01 09:42:00,36.4578,0.1908,9.3732,Layer 3 Up,1
2,2025-01-01 09:43:00,26.967,0.1827,10.0168,Layer 2 Up,1
2,2025-01-01 09:45:00,18.3758,0.2576,18.953,Layer 2 Up,1
